orderId,orderType,user,store,partner,buy,sell,Payment Mode,status,charge,extraCharges,Date,Day,Hour
12866,0,354,196,1054,280,280,Cash,Delivered,20,0,"Thursday, 9 March, 2023",THU,13
12745,1,4388,135,4989,36,36,Cash,Delivered,13,5,"Wednesday, 8 March, 2023",WED,14
12744,1,4388,160,4989,140,140,Cash,Delivered,13,0,"Wednesday, 8 March, 2023",WED,14
13128,0,4394,138,4989,285,285,Cash,Delivered,25,0,"Saturday, 11 March, 2023",SAT,7
13259,0,2844,137,3710,270,270,Cash,Delivered,30,5,"Saturday, 11 March, 2023",SAT,16
13526,0,3170,139,4739,194,194,Cash,Delivered,30,0,"Monday, 13 March, 2023",MON,13
12992,1,3947,135,227,60,60,Cash,Delivered,10,0,"Friday, 10 March, 2023",FRI,11
12993,1,3947,142,227,160,160,Cash,Delivered,10,0,"Friday, 10 March, 2023",FRI,11
12994,1,3947,203,227,110,110,Cash,Delivered,10,5,"Friday, 10 March, 2023",FRI,11
13384,0,133,138,227,1215,1215,Cash,Delivered,45,5,"Sunday, 12 March, 2023",SUN,9
13685,0,5604,197,4739,204,204,Cash,Delivered,35,10,"Tuesday, 14 March, 2023",TUE,14
13673,0,247,146,4133,186,186,Cash,Delivered,25,10,"Tuesday, 14 March, 2023",TUE,14
13832,0,5809,134,4053,326,326,Cash,Delivered,40,0,"Wednesday, 15 March, 2023",WED,13
14015,0,2509,138,4053,225,225,Cash,Delivered,20,0,"Thursday, 16 March, 2023",THU,14
13852,1,5261,134,289,110,110,Cash,Delivered,20,0,"Wednesday, 15 March, 2023",WED,14
13853,1,5261,152,289,52,52,Cash,Delivered,20,5,"Wednesday, 15 March, 2023",WED,14
13991,0,2627,197,4989,249,249,Cash,Delivered,20,10,"Thursday, 16 March, 2023",THU,13
14357,0,2781,135,4739,182,182,Cash,Delivered,25,0,"Sunday, 19 March, 2023",SUN,2
14152,0,5938,197,4053,159,159,Online,Delivered,35,10,"Friday, 17 March, 2023",FRI,14
14559,0,5750,197,289,149,149,Cash,Delivered,25,10,"Monday, 20 March, 2023",MON,11
14188,1,5962,204,4053,363,363,Cash,Delivered,22,5,"Friday, 17 March, 2023",FRI,15
14187,1,5962,3,4053,220,220,Cash,Delivered,22,0,"Friday, 17 March, 2023",FRI,15
14507,0,475,152,4989,104,104,Cash,Delivered,25,5,"Monday, 20 March, 2023",MON,4
16399,0,3108,197,4989,85,85,Cash,Delivered,25,10,"Sunday, 2 April, 2023",SUN,4
14334,0,1307,135,289,135,135,Cash,Delivered,25,0,"Saturday, 18 March, 2023",SAT,15
14829,0,4451,152,4989,80,80,Cash,Delivered,25,5,"Wednesday, 22 March, 2023",WED,7
14709,0,1772,182,1054,160,160,Cash,Delivered,25,10,"Tuesday, 21 March, 2023",TUE,10
15419,0,1670,158,289,0,0,Cash,Delivered,35,10,"Sunday, 26 March, 2023",SUN,8
15973,1,1233,139,3710,630,630,Cash,Delivered,15,0,"Thursday, 30 March, 2023",THU,6
15974,1,1233,173,3710,50,50,Cash,Delivered,15,10,"Thursday, 30 March, 2023",THU,6
14969,0,3091,208,1054,140,140,Cash,Delivered,25,10,"Thursday, 23 March, 2023",THU,11
