orderId,orderType,user,store,partner,buy,sell,Payment Mode,status,charge,extraCharges,Date,store name
12866,0,354,196,1054,280,280,Cash,Delivered,20,0,"Thursday, 9 March, 2023",Hotel Kamara
12745,1,4388,135,4989,36,36,Cash,Delivered,13,5,"Wednesday, 8 March, 2023",Hotel Sri Annapoorani
12744,1,4388,160,4989,140,140,Cash,Delivered,13,0,"Wednesday, 8 March, 2023",NS hotel
13128,0,4394,138,4989,285,285,Cash,Delivered,25,0,"Saturday, 11 March, 2023",Malairam
13259,0,2844,137,3710,270,270,Cash,Delivered,30,5,"Saturday, 11 March, 2023",Megabites
13526,0,3170,139,4739,194,194,Cash,Delivered,30,0,"Monday, 13 March, 2023",Swathi Mess
12992,1,3947,135,227,60,60,Cash,Delivered,10,0,"Friday, 10 March, 2023",Hotel Sri Annapoorani
12993,1,3947,142,227,160,160,Cash,Delivered,10,0,"Friday, 10 March, 2023",Asma Briyani
12994,1,3947,203,227,110,110,Cash,Delivered,10,5,"Friday, 10 March, 2023",WE CHAI
13384,0,133,138,227,1215,1215,Cash,Delivered,45,5,"Sunday, 12 March, 2023",Malairam
13685,0,5604,197,4739,204,204,Cash,Delivered,35,10,"Tuesday, 14 March, 2023",Bon Bon
13673,0,247,146,4133,186,186,Cash,Delivered,25,10,"Tuesday, 14 March, 2023",Vani
13832,0,5809,134,4053,326,326,Cash,Delivered,40,0,"Wednesday, 15 March, 2023",Hotel Vallavan
14015,0,2509,138,4053,225,225,Cash,Delivered,20,0,"Thursday, 16 March, 2023",Malairam
13852,1,5261,134,289,110,110,Cash,Delivered,20,0,"Wednesday, 15 March, 2023",Hotel Vallavan
13853,1,5261,152,289,52,52,Cash,Delivered,20,5,"Wednesday, 15 March, 2023",Saravanabhavan
13991,0,2627,197,4989,249,249,Cash,Delivered,20,10,"Thursday, 16 March, 2023",Bon Bon
14357,0,2781,135,4739,182,182,Cash,Delivered,25,0,"Sunday, 19 March, 2023",Hotel Sri Annapoorani
14152,0,5938,197,4053,159,159,Online,Delivered,35,10,"Friday, 17 March, 2023",Bon Bon
14559,0,5750,197,289,149,149,Cash,Delivered,25,10,"Monday, 20 March, 2023",Bon Bon
14188,1,5962,204,4053,363,363,Cash,Delivered,22,5,"Friday, 17 March, 2023",SKC
14187,1,5962,3,4053,220,220,Cash,Delivered,22,0,"Friday, 17 March, 2023",NARUMANNAM
14507,0,475,152,4989,104,104,Cash,Delivered,25,5,"Monday, 20 March, 2023",Saravanabhavan
16399,0,3108,197,4989,85,85,Cash,Delivered,25,10,"Sunday, 2 April, 2023",Bon Bon
14334,0,1307,135,289,135,135,Cash,Delivered,25,0,"Saturday, 18 March, 2023",Hotel Sri Annapoorani
14829,0,4451,152,4989,80,80,Cash,Delivered,25,5,"Wednesday, 22 March, 2023",Saravanabhavan
14709,0,1772,182,1054,160,160,Cash,Delivered,25,10,"Tuesday, 21 March, 2023",Others
15419,0,1670,158,289,0,0,Cash,Delivered,35,10,"Sunday, 26 March, 2023",Aryabhavan
15973,1,1233,139,3710,630,630,Cash,Delivered,15,0,"Thursday, 30 March, 2023",Swathi Mess
15974,1,1233,173,3710,50,50,Cash,Delivered,15,10,"Thursday, 30 March, 2023",Master Bakery
14969,0,3091,208,1054,140,140,Cash,Delivered,25,10,"Thursday, 23 March, 2023",GANESAN JUICE STORE
16118,0,5592,143,3710,320,320,Cash,Delivered,20,0,"Friday, 31 March, 2023",Rawther Briyani
15124,1,1817,182,3710,30,30,Cash,Delivered,13,10,"Friday, 24 March, 2023",Others
15123,1,1817,137,3710,230,230,Cash,Delivered,13,0,"Friday, 24 March, 2023",Megabites
15264,0,3464,143,3710,250,250,Cash,Delivered,25,0,"Saturday, 25 March, 2023",Rawther Briyani
15568,0,5091,182,227,1849,1849,Cash,Delivered,40,10,"Monday, 27 March, 2023",Others
15692,0,247,197,3878,,,,Cancelled,0,0,"Tuesday, 28 March, 2023",Bon Bon
15824,0,1062,135,289,45,45,Cash,Delivered,25,0,"Wednesday, 29 March, 2023",Hotel Sri Annapoorani
12634,0,1900,152,3710,140,140,Online,Delivered,20,5,"Wednesday, 8 March, 2023",Saravanabhavan
16261,0,1768,139,4739,150,150,Cash,Delivered,20,0,"Saturday, 1 April, 2023",Swathi Mess
16526,0,789,208,3878,,,,Cancelled,0,0,"Sunday, 2 April, 2023",GANESAN JUICE STORE
16650,0,3149,138,4989,55,55,Cash,Delivered,25,0,"Tuesday, 4 April, 2023",Malairam
16757,0,2787,8,227,170,170,Cash,Delivered,25,0,"Tuesday, 4 April, 2023",MISTAKE
10400,0,2703,159,4989,760,760,Cash,Delivered,25,10,"Sunday, 19 February, 2023",Sundaram mess
10313,0,1350,134,4270,80,80,Cash,Delivered,25,0,"Saturday, 18 February, 2023",Hotel Vallavan
16867,0,1987,158,5597,60,60,Cash,Delivered,25,5,"Wednesday, 5 April, 2023",Aryabhavan
9916,0,2752,143,227,100,100,Cash,Delivered,25,0,"Wednesday, 15 February, 2023",Rawther Briyani
10213,0,4245,152,289,60,60,Cash,Delivered,35,5,"Saturday, 18 February, 2023",Saravanabhavan
10018,0,1346,197,551,597,597,Cash,Delivered,25,10,"Thursday, 16 February, 2023",Bon Bon
10119,0,1908,152,551,80,80,Cash,Delivered,25,5,"Friday, 17 February, 2023",Saravanabhavan
10490,0,1914,152,4739,96,96,Cash,Delivered,45,5,"Monday, 20 February, 2023",Saravanabhavan
10582,0,5305,136,4739,192,192,Cash,Delivered,20,0,"Monday, 20 February, 2023",Anwaria
10670,1,3585,138,4739,225,225,Cash,Delivered,15,5,"Tuesday, 21 February, 2023",Malairam
10749,0,2183,142,4739,380,380,Cash,Delivered,20,0,"Wednesday, 22 February, 2023",Asma Briyani
10832,0,3689,152,3878,,,,Cancelled,0,0,"Wednesday, 22 February, 2023",Saravanabhavan
10951,0,4115,158,4989,80,80,Cash,Delivered,25,10,"Thursday, 23 February, 2023",Aryabhavan
16976,0,6041,142,4989,380,380,Cash,Delivered,40,0,"Thursday, 6 April, 2023",Asma Briyani
11019,0,958,152,4053,102,102,Cash,Delivered,25,5,"Friday, 24 February, 2023",Saravanabhavan
17074,1,6210,143,227,390,390,Cash,Delivered,25,0,"Thursday, 6 April, 2023",Rawther Briyani
26010,0,4189,152,227,270,270,Cash,Delivered,20,5,"Saturday, 3 June, 2023",Saravanabhavan
12995,0,4387,182,227,65,65,Cash,Delivered,20,10,"Friday, 10 March, 2023",Others
13129,0,5145,138,4989,315,315,Cash,Delivered,20,0,"Saturday, 11 March, 2023",Malairam
12867,0,2116,192,289,24,24,Cash,Delivered,20,10,"Thursday, 9 March, 2023",Ameera
13525,0,4029,139,4739,144,144,Cash,Delivered,40,0,"Monday, 13 March, 2023",Swathi Mess
13260,0,101,139,4053,48,48,Cash,Delivered,20,0,"Saturday, 11 March, 2023",Swathi Mess
12747,1,3722,137,834,90,90,Cash,Delivered,14,0,"Wednesday, 8 March, 2023",Megabites
12746,1,3722,197,834,348,348,Cash,Delivered,14,0,"Wednesday, 8 March, 2023",Bon Bon
12748,1,3722,206,834,50,50,Cash,Delivered,14,10,"Wednesday, 8 March, 2023",Happy day
13385,0,3489,171,3489,3600,3600,Cash,Delivered,200,0,"Sunday, 12 March, 2023",Wikkis Bakery
13674,0,1067,152,3710,91,91,Cash,Delivered,20,5,"Tuesday, 14 March, 2023",Saravanabhavan
13686,0,3789,143,4133,310,310,Cash,Delivered,25,0,"Tuesday, 14 March, 2023",Rawther Briyani
13854,0,911,134,4053,220,220,Cash,Delivered,30,5,"Wednesday, 15 March, 2023",Hotel Vallavan
13839,0,5305,136,4133,245,245,Cash,Delivered,20,0,"Wednesday, 15 March, 2023",Anwaria
12635,0,171,168,227,0,0,Online,Delivered,160,20,"Wednesday, 8 March, 2023",Alifat Delights
13993,1,36,135,4133,90,90,Cash,Delivered,30,0,"Thursday, 16 March, 2023",Hotel Sri Annapoorani
14017,1,4388,139,3710,120,120,Cash,Delivered,13,5,"Thursday, 16 March, 2023",Swathi Mess
14016,1,4388,152,3710,91,91,Cash,Delivered,13,0,"Thursday, 16 March, 2023",Saravanabhavan
15420,1,2920,8,1054,140,140,Cash,Delivered,15,0,"Sunday, 26 March, 2023",MISTAKE
14560,0,6000,186,227,84,84,Cash,Delivered,45,10,"Monday, 20 March, 2023",Best maligai
14359,1,4657,182,289,40,40,Cash,Delivered,18,10,"Sunday, 19 March, 2023",Others
14358,1,4657,186,289,422,422,Cash,Delivered,18,0,"Sunday, 19 March, 2023",Best maligai
14189,1,2389,137,4989,1610,1610,Cash,Delivered,27,5,"Friday, 17 March, 2023",Megabites
14160,1,15,171,3710,40,40,Cash,Delivered,5,0,"Friday, 17 March, 2023",Wikkis Bakery
14161,1,15,175,3710,60,60,Cash,Delivered,5,10,"Friday, 17 March, 2023",Arun Pharmacy
14190,1,2389,139,4989,160,160,Cash,Delivered,27,0,"Friday, 17 March, 2023",Swathi Mess
15975,0,5905,196,4989,380,380,Cash,Delivered,20,0,"Thursday, 30 March, 2023",Hotel Kamara
15125,0,1019,197,4739,70,70,Cash,Delivered,25,10,"Friday, 24 March, 2023",Bon Bon
14830,0,4299,143,4739,260,260,Cash,Delivered,35,0,"Wednesday, 22 March, 2023",Rawther Briyani
14508,0,5989,135,4739,92,92,Cash,Delivered,20,0,"Monday, 20 March, 2023",Hotel Sri Annapoorani
14712,0,6017,6,227,299,299,Cash,Delivered,0,0,"Tuesday, 21 March, 2023",BON BON ORDERS
14335,1,2920,135,4989,305,305,Cash,Delivered,15,0,"Saturday, 18 March, 2023",Hotel Sri Annapoorani
14336,1,2920,134,4989,60,60,Cash,Delivered,15,5,"Saturday, 18 March, 2023",Hotel Vallavan
15569,0,2856,203,3878,,,,Cancelled,0,0,"Monday, 27 March, 2023",WE CHAI
16868,1,507,134,4989,120,120,Cash,Delivered,25,0,"Wednesday, 5 April, 2023",Hotel Vallavan
14970,0,2331,197,1054,467,467,Cash,Delivered,40,10,"Thursday, 23 March, 2023",Bon Bon
15270,0,791,142,227,220,220,Cash,Delivered,40,0,"Saturday, 25 March, 2023",Asma Briyani
16651,0,163,158,6133,110,110,Cash,Delivered,20,10,"Tuesday, 4 April, 2023",Aryabhavan
16527,0,789,197,4053,130,130,Online,Delivered,25,10,"Sunday, 2 April, 2023",Bon Bon
16119,0,380,152,4739,110,110,Cash,Delivered,20,0,"Friday, 31 March, 2023",Saravanabhavan
15693,0,3327,208,3710,200,200,Online,Delivered,0,0,"Tuesday, 28 March, 2023",GANESAN JUICE STORE
15421,1,2920,138,1054,125,125,Cash,Delivered,15,10,"Sunday, 26 March, 2023",Malairam
15828,0,979,179,4989,700,700,Cash,Delivered,50,50,"Wednesday, 29 March, 2023",Royal Sea Foods
16400,0,5099,182,6133,576,576,Cash,Delivered,50,10,"Sunday, 2 April, 2023",Others
16259,0,6051,143,3710,200,200,Cash,Delivered,20,0,"Saturday, 1 April, 2023",Rawther Briyani
16758,0,2697,138,4739,245,245,Cash,Delivered,20,5,"Tuesday, 4 April, 2023",Malairam
16869,1,507,137,4989,600,600,Cash,Delivered,25,10,"Wednesday, 5 April, 2023",Megabites
16977,1,5842,152,3710,160,160,Cash,Delivered,12,0,"Thursday, 6 April, 2023",Saravanabhavan
16979,1,5842,182,3710,10,10,Cash,Delivered,12,10,"Thursday, 6 April, 2023",Others
16978,1,5842,139,3710,120,120,Cash,Delivered,12,0,"Thursday, 6 April, 2023",Swathi Mess
17073,1,6210,134,3878,,,,Cancelled,0,0,"Thursday, 6 April, 2023",Hotel Vallavan
9915,1,5220,135,289,48,48,Cash,Delivered,13,10,"Wednesday, 15 February, 2023",Hotel Sri Annapoorani
17163,1,1768,142,4989,160,160,Cash,Delivered,13,5,"Friday, 7 April, 2023",Asma Briyani
9914,1,5220,182,289,100,100,Cash,Delivered,13,0,"Wednesday, 15 February, 2023",Others
10020,0,913,143,4270,600,600,Cash,Delivered,25,0,"Thursday, 16 February, 2023",Rawther Briyani
10117,0,4469,142,4739,200,200,Cash,Delivered,40,0,"Friday, 17 February, 2023",Asma Briyani
17162,1,1768,135,4989,110,110,Cash,Delivered,13,0,"Friday, 7 April, 2023",Hotel Sri Annapoorani
10214,0,28,139,3878,,,,Cancelled,0,0,"Saturday, 18 February, 2023",Swathi Mess
10401,0,1241,138,289,685,685,Cash,Delivered,20,5,"Sunday, 19 February, 2023",Malairam
17247,0,2663,135,3710,125,125,Cash,Delivered,25,0,"Friday, 7 April, 2023",Hotel Sri Annapoorani
10750,0,2232,152,3710,80,80,Cash,Delivered,25,5,"Wednesday, 22 February, 2023",Saravanabhavan
31271,0,6521,197,2445,499,499,Cash,Delivered,20,10,"Wednesday, 5 July, 2023",Bon Bon
12749,0,3710,160,3710,80,80,Cash,Delivered,20,0,"Wednesday, 8 March, 2023",NS hotel
12636,0,4678,197,227,458,458,Cash,Delivered,25,10,"Wednesday, 8 March, 2023",Bon Bon
12868,0,38,139,4989,120,120,Cash,Delivered,25,0,"Thursday, 9 March, 2023",Swathi Mess
12996,0,2672,197,227,174,174,Cash,Delivered,45,10,"Friday, 10 March, 2023",Bon Bon
13130,0,486,139,3710,460,460,Cash,Delivered,20,0,"Saturday, 11 March, 2023",Swathi Mess
13386,0,4859,142,1054,200,200,Cash,Delivered,20,0,"Sunday, 12 March, 2023",Asma Briyani
13261,0,2750,138,4739,310,310,Cash,Delivered,25,5,"Saturday, 11 March, 2023",Malairam
13527,0,5904,182,3710,85,85,Cash,Delivered,20,10,"Monday, 13 March, 2023",Others
13687,0,5839,134,227,99,99,Cash,Delivered,20,0,"Tuesday, 14 March, 2023",Hotel Vallavan
13831,0,4794,149,227,30,30,Cash,Delivered,5,5,"Wednesday, 15 March, 2023",Manoharan Juice Center
13998,0,174,134,227,300,300,Cash,Delivered,20,0,"Thursday, 16 March, 2023",Hotel Vallavan
