#,Electors,Margin,No,Party,PC Name,State,Type,Votes,Winning Candidate,,Margin %,Turnout
1,1562871,306559,7,DMK,Arakkonam,Tamil Nadu,GEN,1163822,S Jagathratchakan,,26.3,74.5
2,1496118,208766,12,DMK,Arani,Tamil Nadu,GEN,1140261,Tharaniventhan M S,,18.3,76.2
3,1350161,244689,4,DMK,Chennai Centra,Tamil Nadu,GEN,730549,Dayanidhi Maran,,33.5,54.1
4,1496224,339222,2,DMK,Chennai North,Tamil Nadu,GEN,902489,Dr.Kalanidhi Veeraswamy,,37.6,60.3
5,2023133,225945,3,DMK,Chennai South,Tamil Nadu,GEN,1099321,T.Sumathy (ALIAS) THAMIZHACHI THANGAPANDIAN,,20.6,54.3
6,1519847,103554,27,VCK,Chidambaram,Tamil Nadu,SC,1167071,Thirumaavalavan Thol,,8.9,76.8
7,2106124,118068,20,DMK,Coimbatore,Tamil Nadu,GEN,1372833,Ganapathy Rajkumar P,,8.6,65.2
8,1412746,185896,26,INA,Cuddalore,Tamil Nadu,GEN,1031563,M.K. Vishnuprasad,,18,73
9,1524896,21300,10,DMK,Dharmapuri,Tamil Nadu,GEN,1247832,Mani. A.,,1.7,81.8
10,1607051,443821,22,CPIM,Dindigul,Tamil Nadu,GEN,1149621,Sachithanantham R,,38.6,71.5
11,1538778,236566,17,DMK,Erode,Tamil Nadu,GEN,1093423,K E Prakash,,21.6,71.1
12,1568681,53784,14,DMK,Kallakurichi,Tamil Nadu,GEN,1249568,Malaiyarasan D,,4.3,79.7
13,1748866,221473,6,DMK,Kancheepuram,Tamil Nadu,SC,1259578,Selvam. G,,17.6,72
14,1557915,179907,39,INA,Kanniyakumari,Tamil Nadu,GEN,1029055,Vijayakumar (Alias) VIJAY VASANTH,,17.5,66.1
15,1429790,166816,23,INA,Karur,Tamil Nadu,GEN,1132045,Jothimani. S,,14.7,79.1
16,1623179,192486,9,INA,Krishnagiri,Tamil Nadu,GEN,1166156,Gopinath K,,16.5,71.8
17,1582271,209409,32,CPIM,Madurai,Tamil Nadu,GEN,986969,Venkatesan S,,21.2,62.4
18,1545568,271183,28,INA,Mayiladuthurai,Tamil Nadu,GEN,1087708,Sudha R,,24.9,70.4
19,1345120,208957,29,CPI,Nagapattinam,Tamil Nadu,SC,973011,Selvaraj V,,21.5,72.3
20,1452562,29112,16,DMK,Namakkal,Tamil Nadu,GEN,1146303,Matheswaran V S,,2.5,78.9
21,1428387,240585,19,DMK,Nilgiris,Tamil Nadu,SC,1018906,Raja A,,23.6,71.3
22,1446352,389107,25,DMK,Perambalur,Tamil Nadu,GEN,1129226,Arun Nehru,,34.5,78
23,1597467,252042,21,DMK,Pollachi,Tamil Nadu,GEN,1126045,Eswarasamy K,,22.4,70.4
24,1617688,166782,35,IUML,Ramanathapuram,Tamil Nadu,GEN,1109853,Navaskani K,,15,68.6
25,1658681,70357,15,DMK,Salem,Tamil Nadu,GEN,1304844,Selvaganapathi T M,,5.4,78.7
26,1633857,205664,31,INA,Sivaganga,Tamil Nadu,GEN,1053419,Karti P Chidambaram,,19.5,64.5
27,2382119,487029,5,DMK,Sriperumbudur,Tamil Nadu,GEN,1440935,T R Baalu,,33.8,60.5
28,1525439,196199,37,DMK,Tenkasi,Tamil Nadu,SC,1039119,Dr Rani Sri Kumar,,18.9,68.1
29,1501226,319583,30,DMK,Thanjavur,Tamil Nadu,GEN,1028706,Murasoli S,,31.1,68.5
30,1622949,278825,33,DMK,Theni,Tamil Nadu,GEN,1141219,Thanga Tamilselvan,,24.4,70.3
31,2085991,572155,1,INA,Thiruvallur,Tamil Nadu,SC,1417812,Sasikanth Senthil,,40.4,68
32,1458430,392738,36,DMK,Thoothukkudi,Tamil Nadu,GEN,978526,Kanimozhi Karunanidhi,,40.1,67.1
33,1553985,313094,24,MDMK,Tiruchirappall,Tamil Nadu,GEN,1055964,Durai Vaiko,,29.7,68
34,1654503,165620,38,INA,Tirunelveli,Tamil Nadu,GEN,1067448,Robert Bruce C,,15.5,64.5
35,1608521,125928,18,CPI,Tiruppur,Tamil Nadu,GEN,1142549,"Subbarayan, K.",,11,71
36,1533099,233931,11,DMK,Tiruvannamalai,Tamil Nadu,GEN,1146273,"Annadurai, C.N.",,20.4,74.7
37,1528273,215702,8,DMK,Vellore,Tamil Nadu,GEN,1129458,Dm Kathir Anand,,19.1,73.9
38,1503115,70703,13,VCK,Viluppuram,Tamil Nadu,SC,1152667,Ravikumar. D,,6.1,76.7
39,1501942,4379,34,INA,Virudhunagar,Tamil Nadu,GEN,1061901,Manickam Tagore B,,0.4,70.7
