order_id,product_id,customer_id,quantity,total_price
1,3,7,2,143.20
2,16,1,1,66.75
3,8,14,1,160.65
4,23,5,3,143.76
5,1,19,4,84.96
6,45,2,1,175.12
7,12,11,2,69.98
8,27,8,1,107.91
9,34,17,3,240.98
10,6,4,2,215.98
11,19,13,5,71.20
12,41,9,1,55.24
13,50,20,2,131.18
14,15,6,1,101.19
15,29,15,3,239.70
16,4,3,1,284.05
17,22,18,2,322.20
18,37,10,1,269.10
19,11,16,4,107.96
20,46,12,1,304.79
21,17,1,2,437.76
22,31,7,3,148.47
23,9,5,1,62.91
24,43,14,2,79.98
25,20,11,4,66.60
26,28,19,1,126.65
27,5,2,2,278.64
28,33,13,3,67.47
29,39,8,5,94.95
30,10,15,1,39.99
31,26,4,2,305.98
32,1,17,3,63.72
33,48,20,1,194.65
34,14,6,2,126.40
35,21,9,4,161.96
36,35,12,1,82.64
37,7,3,2,69.98
38,42,16,1,80.10
39,24,1,3,602.28
40,18,18,5,124.95
41,30,5,2,158.40
42,2,11,1,35.91
43,49,14,4,239.96
44,13,7,3,53.97
45,38,19,2,59.98
46,25,10,1,113.52
47,44,2,1,331.55
48,32,13,5,174.95
49,6,15,2,215.98
50,20,4,3,49.95
51,11,17,1,26.99
52,46,8,2,609.58
53,16,20,3,200.25
54,4,6,1,284.05
55,23,9,4,191.68
56,34,12,2,160.65
57,50,1,1,65.59
58,8,3,3,481.95
59,29,5,2,159.80
60,19,18,5,71.20
61,41,11,1,55.24
62,27,14,3,323.73
63,12,7,4,139.96
64,37,19,1,269.10
65,1,2,2,42.48
66,45,13,1,175.12
67,22,15,2,322.20
68,33,4,3,67.47
69,10,16,5,199.95
70,26,20,1,152.99
71,39,6,4,75.96
72,17,9,2,437.76
73,31,12,3,148.47
74,5,1,1,139.32
75,48,3,2,389.30
76,14,5,1,63.20
77,43,17,3,119.97
78,21,18,2,80.98
79,35,11,4,330.56
80,7,19,5,174.95
81,42,2,1,80.10
82,24,14,2,401.52
83,18,7,3,74.97
84,30,13,1,79.20
85,2,15,4,143.64
86,49,4,2,119.98
87,13,20,5,89.95
88,38,6,1,29.99
89,25,9,3,340.56
90,44,12,1,331.55
91,32,1,2,69.98
92,6,3,3,323.97
93,20,5,4,66.60
94,11,17,5,134.95
95,46,18,1,304.79
96,16,11,2,133.50
97,4,19,2,568.10
98,23,2,1,47.92
99,34,13,3,240.98
100,50,7,2,131.18
