No.,Constituency,District,Party,Candidate,Alliance
1,Gummidipoondi,Tiruvallur,AIADMK,,AIADMK LED Alliance
2,Ponneri (SC),Tiruvallur,AIADMK,,AIADMK LED Alliance
3,Tiruttani,Tiruvallur,AIADMK,,AIADMK LED Alliance
4,Thiruvallur,Tiruvallur,AIADMK,,AIADMK LED Alliance
5,Poonamallee (SC),Tiruvallur,AMMK,,AIADMK LED Alliance
6,Avadi,Tiruvallur,BJP,,AIADMK LED Alliance
7,Maduravoyal,Chennai,AIADMK,P. Benjamin,AIADMK LED Alliance
8,Ambattur,Chennai,PMK,K.N. Sekar,AIADMK LED Alliance
9,Madavaram,Chennai,AIADMK,,AIADMK LED Alliance
10,Thiruvottiyur,Chennai,AIADMK,,AIADMK LED Alliance
11,Dr. Radhakrishnan Nagar,Chennai,AIADMK,,AIADMK LED Alliance
12,Perambur,Chennai,PMK,,AIADMK LED Alliance
13,Kolathur,Chennai,AIADMK,,AIADMK LED Alliance
14,Villivakkam,Chennai,AIADMK,,AIADMK LED Alliance
15,Thiru-Vi-Ka-Nagar (SC),Chennai,AIADMK,,AIADMK LED Alliance
16,Egmore (SC),Chennai,AIADMK,,AIADMK LED Alliance
17,Royapuram,Chennai,AIADMK,D. Jayakumar,AIADMK LED Alliance
18,Harbour,Chennai,AIADMK,,AIADMK LED Alliance
19,Chepauk-Thiruvallikeni,Chennai,AIADMK,,AIADMK LED Alliance
20,Thousand Lights,Chennai,AIADMK,,AIADMK LED Alliance
21,Anna Nagar,Chennai,AIADMK,,AIADMK LED Alliance
22,Virugambakkam,Chennai,AIADMK,,AIADMK LED Alliance
23,Saidapet,Chennai,AMMK,,AIADMK LED Alliance
24,Thiyagarayanagar,Chennai,AIADMK,,AIADMK LED Alliance
25,Mylapore,Chennai,BJP,Tamilisai Soundararajan,AIADMK LED Alliance
26,Velachery,Chennai,AIADMK,,AIADMK LED Alliance
27,Sholinganallur,Chennai,AIADMK,,AIADMK LED Alliance
28,Alandur,Chennai,AIADMK,,AIADMK LED Alliance
29,Sriperumbudur (SC),Kanchipuram,AIADMK,,AIADMK LED Alliance
30,Pallavaram,Chengalpattu,IJK,,AIADMK LED Alliance
31,Tambaram,Chengalpattu,AIADMK,,AIADMK LED Alliance
32,Chengalpattu,Chengalpattu,AIADMK,,AIADMK LED Alliance
33,Thiruporur,Chengalpattu,PMK,,AIADMK LED Alliance
34,Cheyyur (SC),Chengalpattu,AIADMK,,AIADMK LED Alliance
35,Madurantakam (SC),Chengalpattu,AIADMK,,AIADMK LED Alliance
36,Uthiramerur,Kanchipuram,PMK,,AIADMK LED Alliance
37,Kancheepuram,Kanchipuram,AIADMK,,AIADMK LED Alliance
38,Arakkonam (SC),Ranipet,AIADMK,,AIADMK LED Alliance
39,Sholinghur,Ranipet,PMK,,AIADMK LED Alliance
40,Katpadi,Vellore,AIADMK,,AIADMK LED Alliance
41,Ranipet,Ranipet,TMC(M),,AIADMK LED Alliance
42,Arcot,Ranipet,AIADMK,,AIADMK LED Alliance
43,Vellore,Vellore,AIADMK,,AIADMK LED Alliance
44,Anaikattu,Vellore,AIADMK,,AIADMK LED Alliance
45,Kilvaithinankuppam (SC),Vellore,PBK,M. Jagan Moorthy,AIADMK LED Alliance
46,Gudiyattam (SC),Vellore,AIADMK,,AIADMK LED Alliance
47,Vaniyambadi,Tirupathur,AIADMK,,AIADMK LED Alliance
48,Ambur,Tirupathur,AIADMK,,AIADMK LED Alliance
49,Jolarpet,Tirupathur,AIADMK,K. C. Veeramani,AIADMK LED Alliance
50,Tirupattur,Tirupathur,AMMK,,AIADMK LED Alliance
51,Uthangarai (SC),Krishnagiri,AIADMK,,AIADMK LED Alliance
52,Bargur,Krishnagiri,AIADMK,,AIADMK LED Alliance
53,Krishnagiri,Krishnagiri,AIADMK,,AIADMK LED Alliance
54,Veppanahalli,Krishnagiri,AIADMK,K. P. Munusamy,AIADMK LED Alliance
55,Hosur,Krishnagiri,AIADMK,,AIADMK LED Alliance
56,Thalli,Krishnagiri,BJP,,AIADMK LED Alliance
57,Palacode,Dharmapuri,AIADMK,K. P. Anbalagan,AIADMK LED Alliance
58,Pennagaram,Dharmapuri,PMK,,AIADMK LED Alliance
59,Dharmapuri,Dharmapuri,PMK,,AIADMK LED Alliance
60,Pappireddippatti,Dharmapuri,AIADMK,,AIADMK LED Alliance
61,Harur (SC),Dharmapuri,AIADMK,,AIADMK LED Alliance
62,Chengam (SC),Tiruvannamalai,AIADMK,,AIADMK LED Alliance
63,Tiruvannamalai,Tiruvannamalai,BJP,,AIADMK LED Alliance
64,Kilpennathur,Tiruvannamalai,AIADMK,,AIADMK LED Alliance
65,Kalasapakkam,Tiruvannamalai,AIADMK,Agri S. S. Krishnamurthy,AIADMK LED Alliance
66,Polur,Tiruvannamalai,PMK,,AIADMK LED Alliance
67,Arani,Tiruvannamalai,AIADMK,,AIADMK LED Alliance
68,Cheyyar,Tiruvannamalai,AIADMK,,AIADMK LED Alliance
69,Vandavasi (SC),Tiruvannamalai,AIADMK,,AIADMK LED Alliance
70,Gingee,Viluppuram,PMK,A. Ganeshkumar,AIADMK LED Alliance
71,Mailam,Viluppuram,AIADMK,C. Ve. Shanmugam,AIADMK LED Alliance
72,Tindivanam,Viluppuram,AIADMK,,AIADMK LED Alliance
73,Vanur (SC),Viluppuram,AIADMK,,AIADMK LED Alliance
74,Villupuram,Viluppuram,AIADMK,,AIADMK LED Alliance
75,Vikravandi,Viluppuram,PMK,,AIADMK LED Alliance
76,Tirukkoyilur,Viluppuram,AIADMK,,AIADMK LED Alliance
77,Ulundurpettai,Kallakurichi,AIADMK,,AIADMK LED Alliance
78,Rishivandiyam,Kallakurichi,PMK,,AIADMK LED Alliance
79,Sankarapuram,Kallakurichi,AIADMK,,AIADMK LED Alliance
80,Kallakurichi (SC),Kallakurichi,AIADMK,,AIADMK LED Alliance
81,Gangavalli (SC),Salem,AIADMK,,AIADMK LED Alliance
82,Attur (SC),Salem,AIADMK,,AIADMK LED Alliance
83,Yercaud (ST),Salem,AIADMK,,AIADMK LED Alliance
84,Omalur,Salem,AIADMK,,AIADMK LED Alliance
85,Mettur,Salem,AIADMK,,AIADMK LED Alliance
86,Edappadi,Salem,AIADMK,Edappadi K. Palaniswami,AIADMK LED Alliance
87,Sangagiri,Salem,AIADMK,,AIADMK LED Alliance
88,Salem (West),Salem,PMK,,AIADMK LED Alliance
89,Salem (North),Salem,PMK,,AIADMK LED Alliance
90,Salem (South),Salem,AIADMK,,AIADMK LED Alliance
91,Veerapandi,Salem,AIADMK,,AIADMK LED Alliance
92,Rasipuram (SC),Namakkal,BJP,,AIADMK LED Alliance
93,Senthamangalam (ST),Namakkal,AIADMK,,AIADMK LED Alliance
94,Namakkal,Namakkal,AIADMK,,AIADMK LED Alliance
95,Paramathi-Velur,Namakkal,AIADMK,,AIADMK LED Alliance
96,Tiruchengodu,Namakkal,AIADMK,,AIADMK LED Alliance
97,Kumarapalayam,Namakkal,AIADMK,P. Thangamani,AIADMK LED Alliance
98,Erode (East),Erode,AIADMK,,AIADMK LED Alliance
99,Erode (West),Erode,TMC(M),,AIADMK LED Alliance
100,Modakkurichi,Erode,BJP,,AIADMK LED Alliance
101,Dharapuram (SC),Tiruppur,AIADMK,,AIADMK LED Alliance
102,Kangayam,Tiruppur,AIADMK,,AIADMK LED Alliance
103,Perundurai,Erode,AIADMK,,AIADMK LED Alliance
104,Bhavani,Erode,AIADMK,K. C. Karuppannan,AIADMK LED Alliance
105,Anthiyur,Erode,AIADMK,,AIADMK LED Alliance
106,Gobichettipalayam,Erode,AIADMK,,AIADMK LED Alliance
107,Bhavanisagar (SC),Erode,AIADMK,,AIADMK LED Alliance
108,Udhagamandalam,Nilgiris,BJP,,AIADMK LED Alliance
109,Gudalur (SC),Nilgiris,AIADMK,,AIADMK LED Alliance
110,Coonoor,Nilgiris,AIADMK,,AIADMK LED Alliance
111,Mettupalayam,Coimbatore,AIADMK,,AIADMK LED Alliance
112,Avanashi (SC),Tiruppur,BJP,,AIADMK LED Alliance
113,Tiruppur (North),Tiruppur,AIADMK,,AIADMK LED Alliance
114,Tiruppur (South),Tiruppur,BJP,,AIADMK LED Alliance
115,Palladam,Tiruppur,AIADMK,,AIADMK LED Alliance
116,Sulur,Coimbatore,AIADMK,,AIADMK LED Alliance
117,Kavundampalayam,Coimbatore,AIADMK,,AIADMK LED Alliance
118,Coimbatore (North),Coimbatore,BJP,,AIADMK LED Alliance
119,Thondamuthur,Coimbatore,AIADMK,S. P. Velumani,AIADMK LED Alliance
120,Coimbatore (South),Coimbatore,AIADMK,,AIADMK LED Alliance
121,Singanallur,Coimbatore,AIADMK,,AIADMK LED Alliance
122,Kinathukadavu,Coimbatore,AIADMK,,AIADMK LED Alliance
123,Pollachi,Coimbatore,AIADMK,,AIADMK LED Alliance
124,Valparai (SC),Coimbatore,AIADMK,,AIADMK LED Alliance
125,Udumalaipettai,Tiruppur,AIADMK,,AIADMK LED Alliance
126,Madathukulam,Tiruppur,AMMK,,AIADMK LED Alliance
127,Palani,Dindigul,AIADMK,,AIADMK LED Alliance
128,Oddanchatram,Dindigul,TMC(M),,AIADMK LED Alliance
129,Athoor,Dindigul,AIADMK,,AIADMK LED Alliance
130,Nilakottai (SC),Dindigul,AIADMK,,AIADMK LED Alliance
131,Natham,Dindigul,AIADMK,Natham R. Viswanathan,AIADMK LED Alliance
132,Dindigul,Dindigul,AIADMK,Dindigul C. Sreenivasan,AIADMK LED Alliance
133,Vedasandur,Dindigul,AIADMK,,AIADMK LED Alliance
134,Aravakurichi,Karur,AIADMK,,AIADMK LED Alliance
135,Karur,Karur,AIADMK,M. R. Vijayabhaskar,AIADMK LED Alliance
136,Krishnarayapuram (SC),Karur,AIADMK,,AIADMK LED Alliance
137,Kulithalai,Karur,AIADMK,,AIADMK LED Alliance
138,Manapaarai,Tiruchirappalli,AIADMK,,AIADMK LED Alliance
139,Srirangam,Tiruchirappalli,AIADMK,,AIADMK LED Alliance
140,Tiruchirappalli (West),Tiruchirappalli,AMMK,,AIADMK LED Alliance
141,Tiruchirappalli (East),Tiruchirappalli,AIADMK,,AIADMK LED Alliance
142,Thiruverumbur,Tiruchirappalli,AIADMK,,AIADMK LED Alliance
